fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220518 000531	-0.99906173868622	70860	2	8	5	5746000	211
20220518 000545	-0.146277893256624	49700	73	3	5	5746000	212
20220518 000600	-0.318616749749926	35096	17437	10	5	3939000	213
20220518 000614	0.0986862458933144	13304	5459	30	5	0	214
20220518 000646	-0.387308953836878	1989	821	13	5	10631000	215
20220518 000700	-0.239731940636429	79989	19	3	5	5742000	216
20220518 000714	-0.18307914040282	73916	30	30	5	5746000	217
20220518 000736	-0.157891501712301	49161	7	30	5	5735000	218
20220518 000801	-0.620387769043468	1949	952	7	5	10533000	219
20220518 000821	-0.411862424914631	46599	33	9	5	5720000	220
20220518 000835	-0.999875797794134	54976	17387	30	5	4105000	221
20220518 000850	-0.383310677200753	79995	44	11	5	5746000	222
20220518 000904	0.0393247724073844	70370	2	3	5	0	223
20220518 000918	-0.413682796641927	79996	14547	30	5	5599000	224
20220518 000940	-0.810970650949711	48264	13	23	5	5735000	225
20220518 001010	-0.36538634684913	2033	1014	11	5	10035000	226
20220518 001027	-0.838921480943677	28059	13978	28	5	5959000	227
20220518 001058	-0.278955918857032	8268	35	12	5	7853000	228
20220518 001133	-0.284189934851807	2084	99	12	5	10108000	229
20220518 001202	-0.819771779652442	3019	1459	30	5	8782000	230
20220518 001216	-0.253990270279572	77160	8334	28	5	5746000	231
20220518 001230	-0.333205339149162	52071	8932	3	5	5746000	232
20220518 001252	-0.321499983581588	13083	6514	10	5	7356000	233
20220518 001309	-0.5481840186977	34537	8640	20	5	5746000	234
20220518 001324	-0.498940065769773	77463	8886	17	5	5746000	235
20220518 001349	-0.604744653421902	2203	13	7	5	10454000	236
20220518 001421	-0.648779702495362	2375	1071	30	5	9802000	237
20220518 001447	-0.512629846804741	1863	28	7	5	10176000	238
20220518 001514	-0.757690546888747	2177	1057	8	5	10078000	239
20220518 001533	-0.999334220777626	31882	5879	16	5	5746000	240
20220518 001550	-0.857525743868162	40386	8761	29	5	5746000	241
20220518 001617	-0.769834611234539	17341	523	30	5	5746000	242
20220518 001632	-0.305117050359938	79980	8876	5	5	5746000	243
20220518 001647	-0.998058385863678	52257	6715	25	5	5746000	244
20220518 001702	-0.901250616661201	66603	8859	11	5	5746000	245
20220518 001716	-0.549546769321424	69254	8881	30	5	5746000	246
20220518 001752	-0.416027657966648	1855	192	13	5	10330000	247
20220518 001822	-0.335497498595885	2596	1228	22	5	8859000	248
20220518 001854	-0.467574630588338	1847	703	12	5	10536000	249
20220518 001918	-0.20047902422542	6911	3448	11	5	8148000	250
20220518 001950	-0.373463993019993	2747	1046	25	5	9317000	251
20220518 002020	-0.168997071861138	2203	842	10	5	10515000	252
20220518 002054	-0.25791197000946	1876	498	17	5	10522000	253
20220518 002130	-0.383191218708919	1948	523	16	5	10700000	254
20220518 002153	-0.594604585885158	1857	523	6	5	10539000	255
20220518 002228	-0.658077062942277	1793	438	21	5	10158000	256
20220518 002250	-0.632111519108963	10831	5390	12	5	7734000	257
20220518 002323	-0.137474604506642	1963	605	17	5	10554000	258
20220518 002351	-0.999966611509316	10616	538	17	5	6798000	259
20220518 002410	-0.98543299584908	26087	4994	24	5	5746000	260
20220518 002429	-0.530897850360946	28915	6612	11	5	5746000	261
20220518 002459	-0.200978883281915	2096	515	9	5	10736000	262
20220518 002531	-0.185569841800253	2137	695	18	5	10696000	263
20220518 002559	0.0021821856260448	1978	542	10	5	0	264
20220518 002626	-0.164666124764204	4990	2465	24	5	8772000	265
20220518 002639	-0.998578685007257	79965	39966	30	5	0	266
20220518 002654	-0.999953905398221	79999	9953	18	5	5746000	267
20220518 002713	-0.156186521931458	22514	11241	18	5	5908000	268
20220518 002740	-0.368204711583921	4086	1998	30	5	8563000	269
20220518 002809	-0.371932025931187	3603	1796	23	5	8618000	270
20220518 002823	-0.999200101722656	78367	13658	3	5	6059000	271
20220518 002834	0.098533229723271	79999	39999	19	5	0	272
20220518 002848	-0.629433198597783	79975	9408	25	5	5746000	273
20220518 002903	-0.678520917406247	79998	2	3	5	5746000	274
20220518 002919	-0.360696377073107	51901	1170	26	5	5746000	275
20220518 002935	-0.650788576163129	40335	13328	24	5	5905000	276
20220518 002948	-0.997098104836546	79988	39991	14	5	0	277
20220518 003003	-0.999867886097594	60088	9313	3	5	5746000	278
20220518 003018	-0.236449039898114	73362	32	16	5	5746000	279
20220518 003033	-0.998824541276722	79988	581	3	5	5746000	280
20220518 003048	-0.142603434801731	22310	11144	3	5	5908000	281
20220518 003103	-0.999500423432348	79996	3266	12	5	5746000	282
20220518 003118	-0.681692009282554	49739	27	3	5	5746000	283
20220518 003150	-0.21385518109094	2092	1040	17	5	10218000	284
20220518 003203	-0.998915859985365	79982	32259	22	5	0	285
20220518 003236	-0.148454800743593	2136	1063	19	5	10097000	286
20220518 003247	0.0996864073186085	79980	39976	30	5	0	287
20220518 003301	-0.0759598761266548	33381	8	3	5	5742000	288
20220518 003314	0.0993704142298845	48670	24305	3	5	0	289
20220518 003330	-0.999593861572556	35256	17626	24	5	3677000	290
20220518 003347	-0.645499922499615	45438	4877	17	5	5746000	291
20220518 003420	-0.366569124923162	1734	716	15	5	10010000	292
20220518 003449	-0.166878176723977	5447	1388	16	5	8434000	293
20220518 003514	-0.853538589448186	9323	4616	11	5	8010000	294
20220518 003541	-0.17668819728132	233	1	7	5	8988000	295
20220518 003627	-0.127833580976112	2358	8	18	5	9732000	296
20220518 003656	-0.147425949747328	1857	911	9	5	10311000	297
20220518 003714	-0.604769491206649	62304	3	24	5	5744000	298
20220518 003747	-0.145495376153514	1757	766	16	5	10179000	299
20220518 003801	0.099899562735022	43068	9	27	5	0	300
20220518 003816	-0.18009906383437	79980	8052	20	5	5746000	301
20220518 003831	-0.453319339875603	79960	48	21	5	5746000	302
20220518 003906	-0.464298177471696	1877	863	25	5	10487000	303
20220518 003941	-0.728486114816144	1538	705	21	5	9476000	304
20220518 004028	-0.685188086202097	158	69	23	5	5072000	305
20220518 004057	-0.550160955101581	3303	1632	24	5	8759000	306
20220518 004120	-0.481600849052549	34633	861	27	5	5746000	307
20220518 004136	-0.0987456381455805	55726	7942	8	5	5746000	308
20220518 004149	-0.617057371493777	79934	37037	30	5	0	309
20220518 004213	-0.0972967378646987	41884	14	11	5	5734000	310
20220518 004229	-0.201550617301878	79995	19	8	5	5742000	311
20220518 004246	-0.389341579716275	42829	13627	17	5	6059000	312
20220518 004302	-0.339386444585074	38636	19164	26	5	2604000	313
20220518 004320	-0.114946208429728	39721	8481	21	5	5746000	314
20220518 004349	-0.653509270870298	4704	2318	22	5	8533000	315
20220518 004404	-0.555004930850628	64969	9015	3	5	5746000	316
20220518 004419	-0.457389196703988	56674	1	3	5	5746000	317
20220518 004434	-0.793237531366339	79767	14574	20	5	5507000	318
20220518 004449	-0.849757568479349	56644	11284	20	5	5908000	319
20220518 004511	-0.193876248109475	2049	341	5	5	10529000	320
20220518 004526	-0.9986842893369	19422	25	3	5	5746000	321
20220518 004551	-0.104092640057437	21957	152	9	5	5746000	322
20220518 004604	-0.4469241671581	79979	39979	17	5	0	323
20220518 004618	-0.8410338215881	79999	10230	3	5	5746000	324
20220518 004650	-0.487707819804862	2417	1177	30	5	9387000	325
20220518 004705	-0.999612127535065	43342	21625	3	5	579000	326
20220518 004731	-0.88886286324279	38232	19	13	5	5700000	327
20220518 004745	0.0997668557319272	41217	47	3	5	0	328
20220518 004800	-0.11484961680673	41937	20959	3	5	836000	329
20220518 004815	-0.228897274185743	63610	4851	3	5	5746000	330
20220518 004839	-0.183143363415073	47035	52	18	5	5710000	331
20220518 004857	-0.687222517778642	34197	11452	8	5	5908000	332
20220518 004914	-0.62152116558998	32578	16279	16	5	4773000	333
20220518 004942	-0.244943028280548	4990	2489	30	5	8749000	334
20220518 004957	-0.12868326531887	79958	11575	3	5	5908000	335
20220518 005012	-0.122253874671924	79972	16115	30	5	4879000	336
20220518 005027	-0.08346296135426	73706	49	25	5	5746000	337
20220518 005045	-0.483789143724415	47786	9666	24	5	5746000	338
20220518 005117	-0.493387457619481	2305	1144	26	5	9714000	339
20220518 005159	-0.180435023879283	1992	67	17	5	9616000	340
20220518 005210	0.0997666071113971	79909	31940	12	5	0	341
20220518 005226	-0.418149902155169	79974	14447	3	5	5724000	342
20220518 005239	-0.531951818268418	79990	39989	4	5	0	343
20220518 005253	-0.999832152704147	79997	25950	30	5	0	344
20220518 005308	-0.284765445423819	79245	12317	24	5	6105000	345
20220518 005343	-0.768453857460621	1846	909	28	5	10311000	346
20220518 005404	-0.542455964490849	3061	711	5	5	9552000	347
20220518 005434	-0.510487980607069	3957	9	8	5	9038000	348
20220518 005457	-0.177089193303716	12843	6399	18	5	7356000	349
20220518 005516	-0.858718244965266	26823	10110	10	5	5746000	350
20220518 005541	-0.195910632143404	3847	396	6	5	9413000	351
20220518 005600	-0.999689257074579	45465	1086	19	5	5746000	352
20220518 005634	-0.937184690349667	1880	932	14	5	10376000	353
20220518 005658	-0.138203966669406	26101	1060	21	5	5746000	354
20220518 005712	0.0996675530237974	79985	12871	26	5	0	355
20220518 005730	-0.0426786038812969	29057	14512	24	5	5644000	356
20220518 005746	-0.999446590633873	70544	14479	15	5	5644000	357
20220518 005810	-0.999540492110241	31076	14	8	5	5724000	358
20220518 005827	-0.681210770163728	79990	10263	13	5	5746000	359
20220518 005842	-0.762707985309935	48007	24000	30	5	0	360
20220518 005858	-0.116641167651728	79979	184	13	5	5746000	361
20220518 005912	0.0992646174716782	28178	14021	4	5	0	362
20220518 005931	-0.125449242654833	64007	3	11	5	5744000	363
20220518 010011	-0.450503223969773	1030	411	23	5	9587000	364
20220518 010035	-0.0687134876343633	32257	658	30	5	5746000	365
20220518 010050	-0.399970770433641	35043	11001	3	5	5620000	366
20220518 010105	-0.503191629256413	79988	3608	3	5	5746000	367
20220518 010120	-0.708103028620876	75185	13916	30	5	6094000	368
20220518 010135	-0.861368365819287	47920	9665	3	5	5746000	369
20220518 010154	-0.282689969068191	28931	14410	20	5	5724000	370
20220518 010228	-0.254172365268717	2170	1009	21	5	10067000	371
20220518 010244	-0.246612161677145	56063	10959	30	5	5620000	372
20220518 010306	-0.438682201681659	2782	102	5	5	9664000	373
20220518 010333	-0.0913326522964766	6487	3200	30	5	8362000	374
20220518 010347	-0.149910313448434	79988	39909	24	5	0	375
20220518 010419	-0.794822900848646	2095	1047	12	5	10049000	376
20220518 010436	-0.0729458343695853	60717	261	30	5	5746000	377
20220518 010454	-0.0786607421075234	45894	9481	30	5	5746000	378
20220518 010513	-0.0794543040022626	34336	14014	16	5	5823000	379
20220518 010530	-0.436061446520264	59785	12586	9	5	6105000	380
20220518 010550	-0.699833952975265	30284	10248	24	5	5746000	381
20220518 010604	-0.888854228009874	67352	33652	30	5	0	382
20220518 010639	-0.636843069684183	2172	1035	18	5	10065000	383
20220518 010710	-0.188061724750079	1963	612	9	5	10556000	384
20220518 010726	-0.603856519673587	65109	12968	16	5	5905000	385
20220518 010744	-0.574923946617663	42865	7926	6	5	5746000	386
20220518 010803	-0.349803654408788	26570	13262	30	5	5905000	387
20220518 010824	-0.208863484511745	1884	826	4	5	9739000	388
20220518 010840	-0.386056972450212	18095	8980	3	5	5746000	389
20220518 010856	-0.0463231973067036	59599	12770	3	5	6021000	390
20220518 010912	-0.999425998662797	79941	128	27	5	5746000	391
20220518 010929	-0.668152153337882	59371	6933	30	5	5746000	392
20220518 010947	-0.746301907209233	79953	5	27	5	5741000	393
20220518 011003	-0.704068590757877	27344	13601	3	5	6059000	394
20220518 011035	-0.789580626039962	2625	1289	21	5	8705000	395
20220518 011053	-0.375445525183814	71970	5	30	5	5741000	396
20220518 011109	-0.932035080799942	73323	6336	3	5	5746000	397
20220518 011138	-0.756023015872534	9616	447	12	5	6993000	398
20220518 011154	-0.72342098104347	38467	6010	3	5	5746000	399
20220518 011218	-0.841366187414994	11813	5880	24	5	7015000	400
20220518 011250	-0.698037020808121	2027	974	12	5	10376000	401
20220518 011307	-0.7717955512201	64053	10356	3	5	5746000	402
20220518 011339	-0.95285744237939	2181	1069	12	5	10097000	403
20220518 011412	-0.62570785124253	1824	892	13	5	10209000	404
20220518 011435	-0.995007942895547	14735	6703	8	5	5746000	405
20220518 011452	-0.99998117910185	947	16	3	5	8135000	406
20220518 011523	-0.519068934952559	24769	36	24	5	5698000	407
20220518 011553	-0.377871675351482	30634	21	18	5	5718000	408
20220518 011610	-0.269204660971059	58515	11339	18	5	5908000	409
20220518 011625	-0.273513071515836	79984	39978	3	5	0	410
20220518 011641	-0.321737152028387	41373	7	3	5	5742000	411
20220518 011655	0.0996599096488184	79916	13179	3	5	0	412
20220518 011720	-0.107756450870309	8515	4222	18	5	7815000	413
20220518 011739	-0.756303966843862	59934	5	17	5	5739000	414
20220518 011757	-0.116155841469446	16020	18	3	5	5742000	415
20220518 011811	-0.999981690393451	66095	33012	3	5	0	416
