fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220517 194954	-0.944367597800102	2140	524	20	5	10871000	90
20220517 195008	-0.999658450452316	8000	1997	3	5	8072000	91
20220517 195044	-0.999476166384701	7998	28	20	5	7786000	92
20220517 195117	-0.944457224719207	2411	523	20	5	10371000	93
20220517 195147	-0.524232745102546	3399	524	11	5	9487000	94
20220517 195200	-0.282075894992053	7999	2000	3	5	8072000	95
20220517 195215	-0.148028659651168	6370	487	3	5	8294000	96
20220517 195246	-0.752397475658645	3348	558	20	5	9476000	97
20220517 195311	-0.746549663652311	8000	1999	19	5	8072000	98
20220517 195325	-0.677071495253347	7998	1	3	5	8184000	99
20220517 195418	-0.116127988576719	729	1	20	5	8915000	100
20220517 195444	-0.803429007399238	5340	1999	14	5	8276000	101
20220517 195515	-0.313183841434099	4189	582	20	5	9394000	102
20220517 195528	0.0969197458526889	7999	1999	20	5	0	103
20220517 195541	-0.171135358416938	7999	1124	3	5	7996000	104
20220517 195611	-0.505589468263473	2035	843	11	5	10541000	105
20220517 195642	-0.607023891630184	2028	27	10	5	10088000	106
20220517 195701	-0.999866237804606	8000	504	5	5	7996000	107
20220517 195733	-0.999499347361143	2017	530	19	5	10736000	108
20220517 195802	-0.264549227903607	2051	872	10	5	10505000	109
20220517 195830	-0.168013857928084	5783	921	14	5	8320000	110
20220517 195856	-0.31175347920481	5064	2000	20	5	8561000	111
20220517 195919	-0.34576799365488	7271	478	7	5	8062000	112
20220517 200003	-0.999650065572865	5637	1	20	5	8233000	113
20220517 200032	-0.189211690740406	2972	569	10	5	9550000	114
20220517 200047	-0.80752648402332	4904	514	3	5	8294000	115
20220517 200126	-0.327975807808305	4891	1	14	5	9340000	116
