fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220606 002302	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	465	TRUE	999983	0.0106497602631547	0.615370672100746	6603	499	0.0172469545833925	13319000	43
20220606 002424	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	623	TRUE	999983	0.010483317778508	0.201855105245685	5972	620	0.0181338968297377	13349000	44
20220606 002601	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	585	TRUE	999983	0.0100258511820103	0.415350627526397	4141	17	0.0294903837881351	11995000	45
20220606 002626	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	125	TRUE	999983	0.0373709927866001	0.20047745045346	4243	836	0.0172347462614252	13302000	46
20220606 002758	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	549	TRUE	999983	0.0104265021581419	0.591094295183819	4213	431	0.0170782646825326	13602000	47
20220606 002812	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	20	TRUE	999983	0.298258206735055	0.214438156098916	6600	964	0.0172981908273376	12669000	48
20220606 003000	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	559	TRUE	999983	0.0100904606403769	0.526123810410632	3954	518	0.0148029556394544	13780000	49
20220606 003156	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1184	TRUE	999983	0.0100286540050517	0.967720876257886	3819	551	0.0142732278941741	13061000	50
20220606 003206	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	28	TRUE	999983	0.199770329005459	0.212238162290177	7996	17	0.0205861466183942	13197000	51
20220606 003314	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	373	TRUE	999983	0.0114670501537737	0.582507233042616	8000	16	0.0202639299689078	12890000	52
20220606 003321	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	14	TRUE	999983	0.299780159634274	0.200747300543857	7989	435	0.0207259846378808	12635000	53
20220606 003328	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	18	TRUE	999983	0.29858596434867	0.704750348325954	7936	16	0.0172138838600618	12700000	54
20220606 003340	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	27	TRUE	999983	0.222974181487906	0.489675824920209	4576	502	0.0148014963123932	13035000	55
20220606 003442	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	391	TRUE	999983	0.0168599151272773	0.395292859323367	7977	1022	0.03168370630415	11166000	56
20220606 003644	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	754	TRUE	999983	0.0100485556450036	0.459864575262827	3821	490	0.0157024959481257	13587000	57
20220606 003827	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	517	TRUE	999983	0.0100527459083809	0.52331119882788	4390	404	0.0143185665133463	13515000	58
