Feature	Gain	Cover	Frequency
<<<<<<< HEAD
<<<<<<< HEAD
=======
>>>>>>> 4541cc1be6e1bc1d8a061d505a3ec727ede9351e
mcaja_ahorro	0.143918298442456	0.0272177538253646	0.0211760608347362
ctrx_quarter	0.103193641863071	0.0314218566475874	0.0186103210077204
mtarjeta_visa_consumo	0.0600352199868687	0.0251513676524172	0.0117722180298369
mcuentas_saldo	0.0473876736789898	0.0390934776165551	0.0249259882742207
mcuenta_corriente	0.0450449591319148	0.0146279552705153	0.0220816160678005
Visa_status	0.0426501653541946	0.00557558492763263	0.00283276252394497
ctarjeta_visa	0.0342713439957783	0.00388583438112956	0.00127706507227027
mdescubierto_preacordado	0.0289896053464	0.00978957248513413	0.00450455680037151
foto_mes	0.0260681416560332	0.0652656123400819	0.0371858129680153
ctarjeta_visa_trx	0.0230069348641461	0.0147760829573507	0.0134672316712138
Visa_Finiciomora	0.0206984215890406	0.0160623440109331	0.00534045393858478
cpayroll_trx	0.0197196074318404	0.0232380320670627	0.00475996981482557
Master_status	0.0183879042118835	0.0067503881165944	0.00300690776107274
mprestamos_personales	0.0149203052915425	0.023710670712814	0.0136645962732919
Visa_fultimo_cierre	0.0149004817675698	0.00378316635586304	0.0117954373947873
Visa_msaldopesos	0.0141758664265302	0.0104362424731614	0.0130260637371568
mpayroll	0.0137825348475519	0.0286775825273254	0.00730249027689093
mpasivos_margen	0.0127596174454843	0.00603356423677689	0.0119115342195391
Visa_delinquency	0.0105161423838915	0.00351850134241377	0.00154408776919951
cproductos	0.0104217167036425	0.0191501058403215	0.0177163754571312
Visa_mpagospesos	0.0103255550288359	0.00692932903746459	0.0148139548383352
Visa_msaldototal	0.00987995912465913	0.0110149331801778	0.0126081151680502
Master_fechaalta	0.00974167189670707	0.013529959412774	0.0295698612642944
Visa_mfinanciacion_limite	0.0096902192288813	0.00720748372224621	0.0182388111685145
Visa_Fvencimiento	0.00925668452343619	0.0103386427564491	0.026458466360945
mrentabilidad_annual	0.00916074141484227	0.0196767607975034	0.0239739943112556
cliente_edad	0.00841954714941773	0.0182611063232714	0.0305915133221106
Visa_mpagominimo	0.00799440736586911	0.0169337288398694	0.0184826145004934
Visa_cconsumos	0.0077479440935618	0.00489100026967549	0.0121669472339932
Visa_fechaalta	0.00738550265219878	0.00791092419821926	0.023811458756603
